fecha;estacion008;estacion011;estacion039;estacion047;estacion049;estacion050;estacion056
09/11/2017;56.0;33.0;23.0;34.0;21.0;15.0;40.0
09/14/2017;69.0;56.0;59.0;58.0;36.0;23.0;72.0
09/15/2017;30.0;14.0;14.0;21.0;10.0;7.0;39.0
09/16/2017;28.0;20.0;18.0;20.0;10.0;9.0;28.0
09/17/2017;48.0;29.0;42.0;35.0;23.0;14.0;45.0
09/18/2017;56.0;41.0;41.0;37.0;18.0;19.0;45.0
09/19/2017;75.0;59.0;55.0;53.0;42.0;20.0;70.0
09/20/2017;86.0;71.0;66.0;62.0;39.0;23.0;87.0
09/21/2017;102.0;72.0;79.0;71.0;60.0;28.0;92.0
09/22/2017;68.0;39.0;47.0;46.0;34.0;13.0;87.0
09/23/2017;62.0;48.0;45.0;40.0;28.0;16.0;68.0
09/24/2017;86.0;53.0;61.0;60.0;51.0;21.0;81.0
09/25/2017;76.0;44.0;52.0;51.0;38.0;36.0;68.0
09/26/2017;58.0;41.0;42.0;42.0;31.0;36.0;68.0
09/27/2017;85.0;65.0;74.0;63.0;49.0;62.0;92.0
09/28/2017;103.0;84.0;85.0;71.0;61.0;74.0;94.0
09/29/2017;91.0;71.0;78.0;70.0;55.0;70.0;101.0
09/30/2017;82.0;58.0;64.0;60.0;52.0;55.0;76.0
10/01/2017;37.0;16.0;26.0;20.0;17.0;45.0
10/02/2017;60.0;38.0;49.0;35.0;37.0;72.0
10/03/2017;65.0;58.0;59.0;53.0;38.0;53.0;79.0
10/04/2017;56.0;52.0;55.0;38.0;29.0;37.0;68.0
10/05/2017;91.0;82.0;89.0;72.0;52.0;71.0;103.0
10/06/2017;60.0;36.0;41.0;41.0;29.0;31.0;82.0
10/07/2017;68.0;54.0;48.0;41.0;29.0;35.0;67.0
10/08/2017;74.0;68.0;70.0;63.0;48.0;57.0;80.0
10/09/2017;82.0;72.0;76.0;77.0;47.0;53.0;94.0
10/10/2017;87.0;92.0;79.0;82.0;50.0;66.0;107.0
10/11/2017;115.0;102.0;103.0;95.0;71.0;87.0;121.0
10/12/2017;102.0;84.0;92.0;82.0;62.0;59.0;103.0
10/13/2017;81.0;61.0;71.0;72.0;46.0;55.0;97.0
10/14/2017;92.0;77.0;77.0;65.0;53.0;62.0;90.0
10/15/2017;63.0;40.0;50.0;51.0;40.0;32.0;80.0
10/16/2017;64.0;58.0;59.0;44.0;34.0;42.0;79.0
10/17/2017;58.0;57.0;57.0;45.0;34.0;51.0;68.0
10/18/2017;56.0;49.0;45.0;43.0;33.0;49.0;60.0
10/19/2017;72.0;58.0;47.0;48.0;41.0;58.0;67.0
10/20/2017;66.0;62.0;50.0;51.0;37.0;52.0;76.0
10/21/2017;47.0;44.0;39.0;32.0;24.0;40.0;43.0
10/22/2017;50.0;37.0;40.0;46.0;25.0;27.0;64.0
10/23/2017;84.0;79.0;65.0;65.0;48.0;49.0;87.0
10/24/2017;94.0;81.0;75.0;73.0;53.0;61.0;91.0
10/25/2017;104.0;91.0;82.0;79.0;60.0;76.0;99.0
10/26/2017;119.0;107.0;92.0;87.0;69.0;80.0;109.0
10/27/2017;69.0;45.0;53.0;62.0;43.0;40.0;91.0
10/28/2017;55.0;33.0;40.0;41.0;27.0;25.0;79.0
10/29/2017;50.0;35.0;36.0;45.0;29.0;26.0;74.0
10/30/2017;51.0;40.0;40.0;42.0;29.0;30.0;67.0
10/31/2017;67.0;59.0;55.0;55.0;42.0;49.0;74.0
11/01/2017;63.0;52.0;48.0;53.0;41.0;40.0;71.0
11/02/2017;70.0;71.0;65.0;57.0;44.0;55.0;81.0
11/03/2017;69.0;73.0;61.0;57.0;45.0;59.0;75.0
11/04/2017;52.0;42.0;38.0;35.0;30.0;40.0;52.0
11/05/2017;48.0;35.0;28.0;38.0;23.0;31.0;54.0
11/06/2017;55.0;36.0;41.0;44.0;31.0;35.0;78.0
11/07/2017;77.0;80.0;75.0;63.0;53.0;68.0;80.0
11/08/2017;69.0;56.0;44.0;54.0;43.0;51.0;74.0
11/09/2017;40.0;26.0;24.0;29.0;21.0;26.0;58.0
11/10/2017;76.0;55.0;52.0;63.0;47.0;49.0;94.0
11/11/2017;85.0;78.0;71.0;67.0;56.0;67.0;81.0
11/12/2017;75.0;68.0;60.0;58.0;50.0;56.0;71.0
11/13/2017;66.0;44.0;41.0;52.0;39.0;41.0;76.0
11/14/2017;85.0;79.0;70.0;74.0;62.0;74.0;89.0
11/15/2017;99.0;101.0;86.0;86.0;75.0;81.0;104.0
11/16/2017;117.0;108.0;100.0;105.0;88.0;89.0;119.0
11/17/2017;121.0;99.0;97.0;102.0;78.0;84.0;125.0
11/18/2017;89.0;67.0;69.0;68.0;52.0;49.0;85.0
11/19/2017;85.0;76.0;70.0;71.0;52.0;60.0;85.0
11/20/2017;101.0;99.0;115.0;95.0;71.0;79.0;114.0
11/21/2017;113.0;111.0;116.0;100.0;84.0;89.0;118.0
11/22/2017;102.0;93.0;98.0;90.0;74.0;77.0;120.0
11/23/2017;117.0;116.0;125.0;101.0;85.0;97.0;116.0
11/24/2017;93.0;82.0;87.0;86.0;62.0;77.0;106.0
11/25/2017;76.0;54.0;56.0;66.0;53.0;42.0;84.0
11/26/2017;46.0;34.0;31.0;36.0;26.0;26.0;58.0
11/27/2017;83.0;85.0;85.0;70.0;60.0;70.0;96.0
11/28/2017;93.0;87.0;89.0;76.0;74.0;78.0;96.0
11/29/2017;66.0;49.0;46.0;53.0;47.0;44.0;72.0
11/30/2017;60.0;41.0;42.0;49.0;39.0;42.0;73.0
09/12/2017;35.0;25.0;27.0;18.0;14.0;40.0
09/13/2017;61.0;57.0;58.0;32.0;24.0;89.0
