fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
05/30/2017;36.0;43.0;30.0;41.0;36.0;21.0;26.0;20.0;15.0;29.0
05/31/2017;53.0;60.0;45.0;49.0;44.0;32.0;31.0;32.0;23.0;40.0
06/01/2017;52.0;60.0;46.0;50.0;43.0;33.0;36.0;34.0;23.0;37.0
06/02/2017;53.0;69.0;52.0;55.0;43.0;35.0;37.0;40.0;29.0;42.0
06/03/2017;28.0;37.0;22.0;32.0;22.0;15.0;15.0;16.0;10.0;23.0
06/04/2017;20.0;26.0;15.0;22.0;16.0;10.0;13.0;8.0;7.0;15.0
06/05/2017;29.0;50.0;33.0;33.0;31.0;25.0;22.0;27.0;16.0;34.0
06/06/2017;33.0;43.0;32.0;34.0;27.0;20.0;17.0;22.0;12.0;31.0
06/07/2017;58.0;64.0;47.0;53.0;49.0;40.0;37.0;34.0;24.0;40.0
06/08/2017;52.0;61.0;43.0;48.0;37.0;34.0;27.0;38.0;22.0;37.0
06/09/2017;50.0;68.0;43.0;48.0;39.0;41.0;31.0;41.0;25.0;46.0
06/10/2017;58.0;66.0;50.0;52.0;42.0;42.0;35.0;35.0;22.0;34.0
06/11/2017;47.0;62.0;46.0;48.0;36.0;40.0;32.0;32.0;26.0;30.0
06/12/2017;53.0;57.0;42.0;49.0;36.0;37.0;34.0;34.0;24.0;27.0
06/13/2017;46.0;60.0;48.0;47.0;37.0;37.0;28.0;39.0;15.0;37.0
06/14/2017;54.0;74.0;48.0;53.0;44.0;41.0;33.0;48.0;25.0;48.0
06/15/2017;77.0;92.0;63.0;68.0;59.0;55.0;56.0;57.0;44.0;60.0
06/16/2017;71.0;77.0;62.0;65.0;61.0;47.0;40.0;47.0;29.0;51.0
06/17/2017;50.0;55.0;40.0;61.0;43.0;29.0;39.0;29.0;23.0;33.0
06/18/2017;32.0;41.0;27.0;39.0;24.0;23.0;21.0;18.0;11.0;18.0
06/19/2017;45.0;52.0;41.0;45.0;37.0;32.0;29.0;31.0;20.0;31.0
06/20/2017;46.0;56.0;45.0;51.0;43.0;31.0;33.0;30.0;22.0;41.0
06/21/2017;65.0;72.0;59.0;60.0;55.0;54.0;44.0;46.0;27.0;53.0
06/22/2017;60.0;80.0;57.0;56.0;51.0;48.0;43.0;48.0;34.0;56.0
